Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,21/12/2018,45324,TOYOTA MOTOR CORPORATION,JPN,BUS,"104,154"
HQSMS,21/12/2018,45328,WHO (UNICC),CHE,COMPUTER SERVICES,"219,965"
HQSMS,21/12/2018,45329,Samman and Partner Accountants Co.,JOR,FINANCIAL SERVICES,"212,175"
HQSMS,21/12/2018,45334,DELL SA,CHE,COMPUTER SERVICES,"1,127,470"
HQSMS,21/12/2018,45336,KPMG France SA,FRA,FINANCIAL SERVICES,"110,239"
HQSMS,21/12/2018,45337,Moore Stephens LLP,GBR,FINANCIAL SERVICES,"195,273"
HQSMS,21/12/2018,45356,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"506,553"
HQSMS,21/12/2018,45358,IMRES,NLD,MISC DRUGS,"110,728"
HQSMS,21/12/2018,45360,IMRES,NLD,MISC DRUGS,"280,129"
HQSMS,21/12/2018,45370,EASTERN SURGICAL COMPANY,IND,MISC MEDICAL SUPPLIES,"111,220"
HQSMS,21/12/2018,45373,Better Shelter RHU AB,SWE,PREFABRICATED House,"343,823"
HQSMS,21/12/2018,45377,WIPRO LIMITED,IND,COMPUTER SERVICES,"596,862"
HQSMS,21/12/2018,45388,HCL Technologies Limited,IND,SOFTWARE,"510,047"
HQSMS,21/12/2018,45393,African Generator Company,ZAF,WATER COOLED POWER GENERATORS,"261,774"
HQSMS,21/12/2018,45395,ELCA INFORMATIQUE SA,CHE,COMPUTER SERVICES,"724,699"
IQCBI,21/12/2018,21,Asia Hawala,IRQ,BUSINESS/ ADMINISTRATIVE SER,"195,487"
IRQ01,21/12/2018,3673,INTERNATIONAL RESCUE COMMITTEE (IRC),IRQ,BUSINESS/ ADMINISTRATIVE SER,"545,458"
IRQ01,21/12/2018,3675,NORWEGIAN REFUGEE COUNCIL (NRC),COD,BUSINESS/ ADMINISTRATIVE SER,"387,093"
ITA01,21/12/2018,1942,SAFEP srl,ITA,MAINTENANCE/ CONSTRUCTION SER,"210,466"
KECBI,21/12/2018,4,EQUITY BANK KENYA LTD,KEN,FINANCIAL SERVICES,"506,301"
KEN01,21/12/2018,11229,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"114,905"
KEN01,21/12/2018,11237,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"133,399"
KEN01,21/12/2018,11245,NILE LOGISTICS SERVICES COMPANY LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"150,574"
KEN01,21/12/2018,11255,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"204,857"
KEN01,21/12/2018,11259,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"160,300"
KEN01,21/12/2018,11264,PETOMA WORKS LIMITED,KEN,MAINTENANCE/ CONSTRUCTION SER,"168,268"
KEN01,21/12/2018,11278,MEDISEL (KENYA) LIMITED,KEN,MISC DRUGS,"145,216"
KEN01,21/12/2018,11279,MEDIONICS HEALTHCARE LTD,KEN,MISC LABORATORY EQUIP/SUPPL,"118,611"
LBN01,21/12/2018,3208,NEXtCARE LEBANON SAL,LBN,CIVIL AFFAIRS SERVICES,"340,000"
LBY01,21/12/2018,717,TOP SOURCES TRADING LTD,HKG,SOAP/CLEANING /HYGIENE SUPPLIE,"427,440"
LKA01,21/12/2018,3996,ST. ANTONY'S COMPUTER,LKA,EDUCATION/ TRAINING SERVICES,"108,932"
MEX01,21/12/2018,795,"TALLER DE ACABADOS MEXICO, S. DE R.L. CV",MEX,MAINTENANCE/ CONSTRUCTION SER,"591,163"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
MMR01,21/12/2018,2288,"Hlaing Myint Mo Tun Constructoin Co.,Ltd",MMR,MAINTENANCE/ CONSTRUCTION SER,"153,484"
MMR01,21/12/2018,2289,"Myanmar Housing Development Co., Ltd",MMR,MAINTENANCE/ CONSTRUCTION SER,"111,439"
MMR01,21/12/2018,2312,"MYANMAR POSCO C&C Co, Ltd",MMR,ROOFING MATERIAL,"239,845"
MWI01,21/12/2018,1286,DHN Building Contractors,MWI,MAINTENANCE/ CONSTRUCTION SER,"126,718"
MXCBI,21/12/2018,37,SI VALE MEXICO S.A. DE C.V.,MEX,BUSINESS/ ADMINISTRATIVE SER,"340,613"
PAK01,21/12/2018,5856,MOHMAND DEVELOPERS,PAK,MAINTENANCE/ CONSTRUCTION SER,"181,434"
PAK01,21/12/2018,5857,Mohammad Iqbal & Co.,PAK,MAINTENANCE/ CONSTRUCTION SER,"221,720"
PAK01,21/12/2018,5858,ROYAL BUILDERS (PVT) LTD,PAK,MAINTENANCE/ CONSTRUCTION SER,"195,049"
PAK01,21/12/2018,5859,KARL STORZ SE & Co. KG – Tuttlingen,DEU,MISC MEDICAL SUPPLIES,"132,642"
PAK01,21/12/2018,5879,HISEL POWER PAKISTAN (PVT.) LTD,PAK,SOLAR GENERATORS/ SUPPLIES,"157,967"
RWA01,21/12/2018,1684,SUPER DESIGN LTD,RWA,MAINTENANCE/ CONSTRUCTION SER,"317,551"
RWCBI,21/12/2018,80,AIRTEL RWANDA LTD,RWA,FINANCIAL SERVICES,"160,336"
SDN01,21/12/2018,6481,ELKHAZEEN FOR TRADING & CONTRACTING,SDN,WATER BUCKET/ BASINE,"300,965"
SDN01,21/12/2018,6482,ALWAHA FOR SUPPLIES CO. LTD,ARE,SOAP/CLEANING /HYGIENE SUPPLIE,"249,375"
SDN01,21/12/2018,6484,Galgalo Transportation Services Enterpri,ARE,CARGO/PASSENGER TRANSPORT,"200,000"
SOM01,21/12/2018,2712,GURMAD FOR SUSTAINABLE AID,SOM,MAINTENANCE/ CONSTRUCTION SER,"278,191"
SSD01,21/12/2018,3789,WS INSIGHT LIMITED,KEN,SECURITY/ SAFETY SERVICES,"353,063"
SSD01,21/12/2018,3802,KIFMAS COMPANY LIMITED,KEN,CARGO/PASSENGER TRANSPORT,"150,000"
SSD01,21/12/2018,3805,ABSA LOGISTICS LTD,KEN,DIESEL,"330,000"
TCD01,21/12/2018,6638,ECOTRANS,TCD,MAINTENANCE/ CONSTRUCTION SER,"108,466"
TCD01,21/12/2018,6649,AHMED KALLI MOULI (ETS AKM),TCD,TYRES/ TYRE TUBES,"185,361"
TCD01,21/12/2018,6650,ETS KHALID,TCD,SPARE PARTS/ ACCESSORIES,"161,741"
TUR01,21/12/2018,5675,SECURITAS GUVENLIK SISTEMLERI A.S.,TUR,SECURITY/ SAFETY SERVICES,"193,735"
TUR01,21/12/2018,5676,MANPOWER INSAN KAYNAKLARI LIMITED SIRKET,TUR,BUSINESS/ ADMINISTRATIVE SER,"348,722"
TZA01,21/12/2018,4222,ENGEN PETROLEUM (TANZANIA) LTD,TZA,DIESEL,"100,560"
TZA01,21/12/2018,4223,MALAGARASI ENTERPRISES AND CONT LTD,TZA,MAINTENANCE/ CONSTRUCTION SER,"116,968"
UGA01,21/12/2018,7262,ASIA AGRO INDUSTRIES (U) LTD,UGA,MOTORIZED CYCLES,"111,381"
UGA01,21/12/2018,7264,CLEANING AND GENERAL SUPPLIES ENT(U) LTD,UGA,NON-MOTORIZED CYCLES,"249,993"
UGA01,21/12/2018,7268,ALL IN TRADE LIMITED,UGA,SOLAR GENERATORS/ SUPPLIES,"113,600"
UGA01,21/12/2018,7298,IDA FOUNDATION,NLD,ORAL MEDICINES,"3,037,829"
UNOPS,21/12/2018,387,UN Office for Project Service (UNOPS),DNK,FINANCIAL SERVICES,"205,417"
USA01,21/12/2018,967,Southern Sales and Service Co. Limited,TTO,4x4 STATION WAGON,"120,000"
YECBI,21/12/2018,33,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"213,611"
YECBI,21/12/2018,34,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"909,631"
YECBI,21/12/2018,35,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"9,530,808"
YECBI,21/12/2018,36,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"1,995,334"
YEM01,21/12/2018,3530,FUTURE COMPUTER EST.,YEM,SOLAR GENERATORS/ SUPPLIES,"142,540"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
YEM01,21/12/2018,3531,AL-AMAL MICROFINANCE BANK,YEM,FINANCIAL SERVICES,"143,000"
YEM01,21/12/2018,3533,CITY PROJECT FOR ENGINEERING AND TRADING,YEM,MAINTENANCE/ CONSTRUCTION SER,"166,270"
YEM01,21/12/2018,3534,National Company for Sponge&Plastic Ind.,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"373,825"
YEM01,21/12/2018,3535,Al-sharq For Foam And Textil Industrial,YEM,BEDCLOTHES/ MATRESSES/ TOWELS,"441,000"
ZMB01,21/12/2018,1954,STONEKING CONSTRUCTION LIMITED,ZMB,MAINTENANCE/ CONSTRUCTION SER,"124,901"
AFG01,20/12/2018,4854,NAJEEBULLLAH,AFG,COOKING STOVES,"126,951"
AFG01,20/12/2018,4855,"Nawi Ibrahim Khil , LTD",AFG,FLUID/ GAS DISTRIBUTION,"124,373"
AFG01,20/12/2018,4858,ZEKRULLAH WA BELAL LTD,AFG,FLUID/ GAS DISTRIBUTION,"125,145"
ARG01,20/12/2018,582,CARINA E. RODRIGUEZ,ARG,MAINTENANCE/ CONSTRUCTION SER,"100,000"
BGD01,20/12/2018,1741,Omera Petroleum Limited,BGD,COOKING STOVES,"197,955"
BGD01,20/12/2018,1741,Omera Petroleum Limited,BGD,FLUID/ GAS DISTRIBUTION,"523,508"
BGD01,20/12/2018,1746,MINISTRY OF DISASTER MANAGEMENT & RELIEF,BGD,BUSINESS/ ADMINISTRATIVE SER,"533,413"
BGD01,20/12/2018,1748,Infinity Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"687,576"
BGD01,20/12/2018,1751,MINISTRY OF DISASTER MANAGEMENT & RELIEF,BGD,BUSINESS/ ADMINISTRATIVE SER,"354,821"
BGD01,20/12/2018,1755,IFAD Autos Limited,BGD,BUS,"240,885"
CHN01,20/12/2018,2365,MVP CONSULTANTS & DEVELOPMENT LIMITED,HKG,ADVERTISING/ INFORMATION SER,"108,654"
GRC01,20/12/2018,3233,KUEHNE AND NAGEL AE METAFORWN,GRC,CARGO/PASSENGER TRANSPORT,"154,608"
HQSMS,20/12/2018,45252,KUEHNE + NAGEL A/S,DNK,CARGO/PASSENGER TRANSPORT,"233,200"
HQSMS,20/12/2018,45255,ICOM FRANCE,FRA,VHF EQUIPMENT,"109,044"
HQSMS,20/12/2018,45257,TRUELITE ENERGY TRADING LLC,ARE,LAMP/ LAMP COMPONENTS,"287,680"
HQSMS,20/12/2018,45258,Neo Verite Limited,GBR,ELECTRONIC DATA STORAGE EQUIP,"214,520"
HQSMS,20/12/2018,45261,KITCHEN ESSENTIALS,IND,KITCHENWARE,"561,142"
HQSMS,20/12/2018,45269,DANOFFICE PLC,DNK,COMPUTERS,"114,126"
HQSMS,20/12/2018,45284,Phoenix Trading & Consulting Pvt. Ltd.,IND,BLANKETS,"107,100"
HQSMS,20/12/2018,45286,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"278,769"
HQSMS,20/12/2018,45289,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"117,096"
HQSMS,20/12/2018,45292,K. ARANO AND CO. LTD.,JPN,GENERAL CARGO TRUCKS,"155,195"
HQSMS,20/12/2018,45295,DANOFFICE PLC,DNK,COMPUTERS,"347,300"
HQSMS,20/12/2018,45298,ORACLE SOFTWARE GMBH,CHE,COMPUTER SERVICES,"326,236"
HQSMS,20/12/2018,45310,DANOFFICE PLC,DNK,COMPUTERS,"107,910"
HQSMS,20/12/2018,45311,UltiSat Inc.,USA,NETWORK COMPONENTS / ACCESS,"292,131"
IQCBI,20/12/2018,20,Iraq Wallet,IRQ,FINANCIAL SERVICES,"682,400"
IRQ01,20/12/2018,3660,BNIAS COMPANY,IRQ,MAINTENANCE/ CONSTRUCTION SER,"263,616"
IRQ01,20/12/2018,3661,POWER MEN COMPANY,IRQ,SOLAR GENERATORS/ SUPPLIES,"461,760"
IRQ01,20/12/2018,3663,Al-Shamsh Co. LTD for Trading & General,IRQ,MAINTENANCE/ CONSTRUCTION SER,"333,653"
IRQ01,20/12/2018,3665,Spectrum Engineering Consultants SARL,IRQ,FINANCIAL SERVICES,"172,500"
IRQ01,20/12/2018,3666,Lab Consult GmbH,DEU,MISC MEDICAL SUPPLIES,"400,772"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
IRQ01,20/12/2018,3668,Al-Belad Al-Mutahida Company,IRQ,MAINTENANCE/ CONSTRUCTION SER,"101,593"
KEN01,20/12/2018,11214,AINUSHAMSI CONSTRUCTION AND TRANSPORT,KEN,MAINTENANCE/ CONSTRUCTION SER,"182,585"
LBN01,20/12/2018,3194,TECHNOMANIA SARL,LBN,COMPUTERS,"1,380,000"
LBN01,20/12/2018,3195,TECHNOMANIA SARL,LBN,MISC COMPUTER EQUIP/SUPPL,"192,000"
LBN01,20/12/2018,3195,TECHNOMANIA SARL,LBN,MISC OFFICE EQUIP,"597,600"
LBN01,20/12/2018,3196,Khalife Computer and Office Machinery,LBN,SCHOOL SUPPLIES,"1,010,124"
LBN01,20/12/2018,3197,ULTRA TECHNOLOGY,LBN,MISC COMPUTER EQUIP/SUPPL,"283,200"
